"Line","Column","Message","Extent","RuleName","Severity","ScriptName","ScriptPath","RuleSuppressionID","SuggestedCorrections","IsSuppressed"
"137","9","Cmdlet 'Write-Host' has positional parameter. Please use named parameters instead of positional parameters when calling a command.","Write-Host ""  ??? Professional welcome banner with ASCII art"" -ForegroundColor Green
        Write-Host ""  ??? Visual progress bars with time estimates"" -ForegroundColor Green","PSAvoidUsingPositionalParameters","Information","Demo-EnhancedUI.ps1","C:\Users\bangvu\Desktop\Projects\window-terminal\Demo-EnhancedUI.ps1","Write-Host",,"False"
"139","9","Cmdlet 'Write-Host' has positional parameter. Please use named parameters instead of positional parameters when calling a command.","Write-Host ""  ??? Step-by-step wizard flow with clear headers"" -ForegroundColor Green
        Write-Host ""  ??? Interactive user input with validation"" -ForegroundColor Green","PSAvoidUsingPositionalParameters","Information","Demo-EnhancedUI.ps1","C:\Users\bangvu\Desktop\Projects\window-terminal\Demo-EnhancedUI.ps1","Write-Host",,"False"
"141","9","Cmdlet 'Write-Host' has positional parameter. Please use named parameters instead of positional parameters when calling a command.","Write-Host ""  ??? Tool selection menu with toggle functionality"" -ForegroundColor Green
        Write-Host ""  ??? Configuration customization options"" -ForegroundColor Green","PSAvoidUsingPositionalParameters","Information","Demo-EnhancedUI.ps1","C:\Users\bangvu\Desktop\Projects\window-terminal\Demo-EnhancedUI.ps1","Write-Host",,"False"
"143","9","Cmdlet 'Write-Host' has positional parameter. Please use named parameters instead of positional parameters when calling a command.","Write-Host ""  ??? Comprehensive installation summary reporting"" -ForegroundColor Green
        Write-Host ""  ??? Color-coded output for better readability"" -ForegroundColor Green","PSAvoidUsingPositionalParameters","Information","Demo-EnhancedUI.ps1","C:\Users\bangvu\Desktop\Projects\window-terminal\Demo-EnhancedUI.ps1","Write-Host",,"False"
"194","5","Cmdlet 'Write-Host' has positional parameter. Please use named parameters instead of positional parameters when calling a command.","Write-Host ""  ??? 300% improvement in user experience"" -ForegroundColor Green
    Write-Host ""  ??? 500% better error handling and recovery"" -ForegroundColor Green","PSAvoidUsingPositionalParameters","Information","Demo-EnhancedUI.ps1","C:\Users\bangvu\Desktop\Projects\window-terminal\Demo-EnhancedUI.ps1","Write-Host",,"False"
"196","5","Cmdlet 'Write-Host' has positional parameter. Please use named parameters instead of positional parameters when calling a command.","Write-Host ""  ??? 100% more reliable installations"" -ForegroundColor Green
    Write-Host ""  ??? Professional-grade installation wizard"" -ForegroundColor Green","PSAvoidUsingPositionalParameters","Information","Demo-EnhancedUI.ps1","C:\Users\bangvu\Desktop\Projects\window-terminal\Demo-EnhancedUI.ps1","Write-Host",,"False"
"11","52","Invoke-Expression is used. Please remove Invoke-Expression from script and find other options instead.","Invoke-Expression","PSAvoidUsingInvokeExpression","Warning","powershell-profile.ps1","C:\Users\bangvu\Desktop\Projects\window-terminal\configs\powershell-profile.ps1",,,"False"
"14","81","Invoke-Expression is used. Please remove Invoke-Expression from script and find other options instead.","Invoke-Expression","PSAvoidUsingInvokeExpression","Warning","powershell-profile.ps1","C:\Users\bangvu\Desktop\Projects\window-terminal\configs\powershell-profile.ps1",,,"False"
"22","5","Invoke-Expression is used. Please remove Invoke-Expression from script and find other options instead.","Invoke-Expression (& { (zoxide init powershell | Out-String) })","PSAvoidUsingInvokeExpression","Warning","powershell-profile.ps1","C:\Users\bangvu\Desktop\Projects\window-terminal\configs\powershell-profile.ps1",,,"False"
"29","40","Invoke-Expression is used. Please remove Invoke-Expression from script and find other options instead.","Invoke-Expression","PSAvoidUsingInvokeExpression","Warning","powershell-profile.ps1","C:\Users\bangvu\Desktop\Projects\window-terminal\configs\powershell-profile.ps1",,,"False"
